l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
18572#1809#3117#600000;600000;600000;500000;600000;600000#2;2;2;2;2;2##0;0;0;0;0;0#HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South###390474.995685663#####''#SRID=4326;LINESTRING(-47.1036569392876 -23.6657903593911,-50.8557330481667 -24.3211258410635)#line
2014#2116#19382########126007.675026182#####''#SRID=4326;LINESTRING(-54.2262607405117 -24.1024060892457,-53.532580830144 -25.0289294004908)#line
2023#1695#1730#220000#3##60##Enersur##43042.480978966#####''#SRID=4326;LINESTRING(-76.0326078172287 -10.9202659543477,-76.2775761518521 -10.6729151182163)#line
2038#943#19382#500000#3######203734.341199436#####''#SRID=4326;LINESTRING(-51.6774396037571 -24.4309578201713,-53.532580830144 -25.0289294004908)#line
2139#20702#21022########29235.9046444913#####''#SRID=4326;LINESTRING(-72.6215967061422 -36.9830012780383,-72.3228181173355 -37.0900462070454)#line
2219#7#19372########293.040985938692#####''#SRID=4326;LINESTRING(-45.2618166333227 -18.2137343857942,-45.2569491593932 -18.2124714065344)#line
2153#1879#21189#345000#3##60####138651.403969402#####''#SRID=4326;LINESTRING(-46.5854419530431 -23.4425761688056,-46.6522430159007 -22.1998567206558)#line
2311#1116#1863#####TAP Cerro Chepe - Concepción FFCC 1x66 kV###612.627110187886#####''#SRID=4326;LINESTRING(-73.065952328794 -36.8211706296266,-73.0732665957915 -36.8235404518367)#line
2353#1736#2970##6######18981.9604975303#####''#SRID=4326;LINESTRING(-63.9133668979756 -31.3405609228372,-64.1006613920914 -31.3899278641961)#line
2360#6#1887#500000#3######1810.12949989956#####''#SRID=4326;LINESTRING(-52.3907311149181 -27.2829147346307,-52.4059240625024 -27.2729009090502)#line
2387#1524#1898#500000#3######77367.9288458943#####''#SRID=4326;LINESTRING(-57.4794396005866 -33.0692055257295,-58.0477178911154 -32.5668306061613)#line
2421#19396#20783########1732.56022160751#####''#SRID=4326;LINESTRING(-50.3892826149962 -23.8511816671678,-50.3867396793354 -23.8661737793394)#line
2505#2402#19308#220000#6#1#60####9323.05714495604#####''#SRID=4326;LINESTRING(-71.5166672064306 -16.4743771925851,-71.5906893355651 -16.5180937936158)#line
2521#1972#19415#138000#3##60####38335.1500571247#####''#SRID=4326;LINESTRING(-70.9664786592006 -17.215508932665,-70.6247490869955 -17.2682789520286)#line
2522#2066#2411########77009.8522282888#####''#SRID=4326;LINESTRING(-58.0058629278982 -33.2606107472048,-57.5905141948132 -32.6654245789915)#line
